date,symbol,expiry,strike,option_type,open,close,contracts,oi,underlying,source
2022-01-07,NIFTY,2022-01-13,18200.0,PE,425.65,400.5,7118,45050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18250.0,PE,448.95,443.7,221,2150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18300.0,PE,490.0,488.15,2569,17100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18350.0,PE,494.95,527.35,47,950,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18400.0,PE,582.8,581.8,737,6650,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18450.0,PE,609.7,629.95,315,2750,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18500.0,PE,710.0,676.5,1358,23500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18550.0,PE,656.2,783.25,14,350,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18600.0,PE,769.8,812.0,11,650,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18650.0,PE,793.3,811.2,5,250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18700.0,PE,866.45,877.85,9,250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18750.0,PE,0.0,971.7,0,150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18800.0,PE,933.0,1028.0,19,400,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18850.0,PE,1018.35,1102.4,4,200,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18900.0,PE,0.0,1122.35,0,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18950.0,PE,0.0,1173.2,0,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19000.0,PE,1107.65,1178.55,61,7100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19050.0,PE,0.0,1323.45,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19100.0,PE,0.0,1325.35,0,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19150.0,PE,1416.4,1416.4,4,100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19200.0,PE,0.0,1436.5,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19250.0,PE,0.0,1475.2,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19300.0,PE,0.0,1464.6,0,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19350.0,PE,1468.95,1468.95,1,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19400.0,PE,0.0,1411.35,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19450.0,PE,0.0,1449.25,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19500.0,PE,0.0,2492.4,0,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19550.0,PE,1671.2,1671.2,1,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19600.0,PE,0.0,1567.7,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15100.0,CE,0.0,1644.2,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15150.0,CE,0.0,1599.8,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15200.0,CE,0.0,1555.75,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15250.0,CE,0.0,1512.15,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15300.0,CE,0.0,1469.0,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15350.0,CE,0.0,1426.3,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15400.0,CE,0.0,1703.25,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15450.0,CE,0.0,1660.7,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15500.0,CE,0.0,1618.55,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15550.0,CE,0.0,1576.85,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15600.0,CE,0.0,1535.55,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15650.0,CE,0.0,1494.75,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15700.0,CE,0.0,1701.1,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15750.0,CE,0.0,1658.95,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15800.0,CE,0.0,1617.25,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15850.0,CE,0.0,1575.95,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15900.0,CE,0.0,1722.75,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,15950.0,CE,0.0,1681.0,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16000.0,CE,0.0,1236.0,0,100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16050.0,CE,0.0,1598.75,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16100.0,CE,0.0,1558.3,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16150.0,CE,0.0,1518.3,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16200.0,CE,0.0,1478.75,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16250.0,CE,0.0,1439.7,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16300.0,CE,0.0,1401.15,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16350.0,CE,0.0,1363.05,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16400.0,CE,0.0,1325.5,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16450.0,CE,0.0,1289.1,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16500.0,CE,0.0,1252.5,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16550.0,CE,0.0,1216.5,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16600.0,CE,0.0,1180.4,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16650.0,CE,0.0,1145.55,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16700.0,CE,0.0,1111.3,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16750.0,CE,0.0,1077.6,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16800.0,CE,0.0,529.35,0,100,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16850.0,CE,0.0,813.0,0,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16900.0,CE,0.0,980.1,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,16950.0,CE,0.0,948.8,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17000.0,CE,1020.0,936.6,2,250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17050.0,CE,0.0,888.05,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17100.0,CE,0.0,707.25,0,850,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17150.0,CE,0.0,525.3,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17200.0,CE,0.0,712.5,0,50,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17250.0,CE,0.0,773.9,0,0,,NSE_bhavcopy
2022-01-07,NIFTY,2022-02-03,17300.0,CE,800.0,718.55,3,150,,NSE_bhavcopy
