entry_date,near_expiry,far_expiry,expiry_regime,spot_open,status,status_detail,gate_pass,strike,entry_near_pe,entry_near_ce,entry_far_ce,entry_far_pe,exit_near_pe,exit_near_ce,exit_far_ce,exit_far_pe,lot_near,lot_far,call_ratio,put_ratio,calendar_balance_ratio,pnl_points,pnl_inr,reason,fixed_status,event_status
2026-03-11,2026-03-17,2026-04-07,TUESDAY,24231.849609375,ERROR,GATE_PASS,True,24250.0,241.0,298.0,602.9,436.9,664.3,0.1,172.45,920.0,65.0,65.0,2.0231543624161072,1.812863070539419,1.1159995453016294,-192.3500000000001,-12502.75,KeyError:'timestamp',,
2026-03-18,2026-03-24,2026-04-13,TUESDAY,23632.900390625,ERROR,GATE_FAIL,False,23650.0,248.0,241.0,532.35,365.0,740.7,0.15,273.5,1133.65,65.0,65.0,2.2089211618257263,1.471774193548387,1.5008560222815894,-293.95000000000005,-19106.750000000007,KeyError:'timestamp',,
2026-03-25,2026-03-30,2026-04-21,TUESDAY,23064.400390625,ERROR,GATE_FAIL,False,23000.0,277.95,331.3,745.4,516.4,681.6,0.2,396.65,965.75,65.0,65.0,2.2499245396921217,1.8578881093721893,1.2110118625240611,-63.34999999999991,-4117.75,KeyError:'timestamp',,
2026-04-01,2026-04-07,2026-04-28,TUESDAY,22899.0,ERROR,GATE_FAIL,False,22900.0,396.35,305.05,664.8,706.0,0.2,215.8,725.6,454.7,65.0,65.0,2.179314866415341,1.7812539422227829,1.2234723049627771,5.2000000000000455,338.0,AttributeError:'dict' object has no attribute 'ce',,
2026-04-08,2026-04-13,2026-05-05,TUESDAY,23855.150390625,ERROR,GATE_FAIL,False,23850.0,300.0,200.05,574.5,415.7,11.8,5.4,499.7,438.15,65.0,65.0,2.871782054486378,1.3856666666666666,2.0724912589509588,-190.8,-12402.0,KeyError:'timestamp',,
2026-04-15,2026-04-21,2026-05-12,TUESDAY,24163.80078125,ERROR,GATE_FAIL,False,24150.0,251.0,275.75,572.2,373.45,0.1,426.2,628.75,232.3,65.0,65.0,2.075067996373527,1.4878486055776892,1.3946768431912044,-203.6500000000001,-13237.250000000004,KeyError:'timestamp',,
2026-04-22,2026-04-28,2026-05-19,TUESDAY,24470.849609375,ERROR,GATE_PASS,True,24450.0,235.0,260.0,536.75,430.9,454.85,0.1,217.6,601.0,65.0,65.0,2.064423076923077,1.833617021276596,1.1258747344556117,-9.5,-617.5000000000018,KeyError:'timestamp',,
2026-04-29,2026-05-05,2026-05-26,TUESDAY,24096.900390625,ANALYZED,GATE_FAIL,False,24100.0,241.0,200.0,479.95,434.55,79.3,0.2,400.05,381.3,65.0,65.0,2.39975,1.8031120331950208,1.3308934529973535,11.450000000000044,744.2500000000018,,NO_TRIGGER,NO_TRIGGER
2026-05-06,2026-05-12,2026-06-02,TUESDAY,24171.0,ERROR,GATE_PASS,True,24150.0,144.0,230.0,472.0,346.0,769.25,0.25,148.3,811.05,65.0,65.0,2.0521739130434784,2.4027777777777777,0.8540839406886154,66.25,4306.250000000004,KeyError:'timestamp',,
2026-05-13,2026-05-19,2026-06-09,TUESDAY,23362.44921875,ERROR,GATE_PASS,True,23400.0,220.0,272.0,531.45,376.4,0.15,226.9,548.6,289.45,65.0,65.0,1.9538602941176475,1.7109090909090907,1.142001234606489,-70.65000000000003,-4592.250000000003,KeyError:'timestamp',,
2026-05-20,2026-05-26,2026-06-16,TUESDAY,23457.25,SOURCE_GAP,GATE_FAIL,False,23450.0,232.1,206.35,500.0,412.25,0.1,462.2,792.05,137.1,65.0,65.0,2.4230676035861403,1.7761740629039209,1.3642061632318816,79.34999999999994,5157.749999999996,,,
2026-05-27,2026-06-02,2026-06-23,TUESDAY,23880.349609375,SOURCE_GAP,GATE_PASS,True,23900.0,178.0,205.0,439.75,345.0,423.2,0.1,190.05,464.2,65.0,65.0,2.145121951219512,1.9382022471910112,1.106758571933545,81.19999999999999,5278.000000000001,,,
2026-06-03,2026-06-09,2026-06-30,TUESDAY,23415.94921875,SOURCE_GAP,GATE_PASS,True,23400.0,103.2,237.0,451.0,356.4,151.3,0.15,299.5,358.85,65.0,65.0,1.9029535864978904,3.4534883720930227,0.5510235974370996,131.0,8514.999999999996,,,
2026-06-10,2026-06-16,2026-07-07,TUESDAY,23233.94921875,SOURCE_GAP,GATE_PASS,True,23250.0,170.7,209.0,455.65,333.7,0.1,737.5,828.95,62.5,65.0,65.0,2.180143540669856,1.954891622729936,1.115224759941098,-54.599999999999966,-3548.9999999999964,,,
2026-06-17,2026-06-23,2026-07-14,TUESDAY,24044.5,SOURCE_GAP,GATE_FAIL,False,24050.0,189.0,149.5,339.5,328.0,201.5,0.25,226.8,344.3,65.0,65.0,2.270903010033445,1.7354497354497354,1.3085386246839057,32.75,2128.75,,,
2026-06-24,2026-06-30,2026-07-21,TUESDAY,23795.80078125,SOURCE_GAP,GATE_FAIL,False,23800.0,155.0,182.0,423.0,283.9,1.9,56.35,414.0,211.8,65.0,65.0,2.3241758241758244,1.8316129032258064,1.2689230459572132,35.64999999999998,2317.249999999998,,,
2026-07-01,2026-07-07,2026-07-28,TUESDAY,23897.650390625,ANALYZED,GATE_PASS,True,23900.0,128.9,193.0,422.15,272.25,0.1,508.7,611.5,79.25,65.0,65.0,2.187305699481865,2.112102404965089,1.035605894079752,-62.14999999999998,-4039.75,,NO_EXIT,NO_EXIT
2026-07-08,2026-07-14,2026-08-04,TUESDAY,24259.55078125,ERROR,GATE_FAIL,False,24250.0,129.9,110.55,318.0,264.8,192.8,0.15,201.25,428.0,65.0,65.0,2.876526458616011,2.038491147036181,1.4111056909902564,-106.65000000000003,-6932.25,KeyError:'timestamp',,
2026-07-15,2026-07-21,2026-08-11,TUESDAY,24085.849609375,SOURCE_GAP,GATE_FAIL,False,24100.0,205.0,150.0,364.8,315.0,0.3,89.25,348.55,231.25,65.0,65.0,2.432,1.5365853658536586,1.5827301587301588,-76.44999999999999,-4969.25,,,
2026-07-22,2026-07-28,2026-08-18,TUESDAY,24150.44921875,SOURCE_GAP,GATE_PASS,True,24150.0,166.0,148.0,316.9,335.85,180.0,0.15,230.55,292.65,65.0,65.0,2.141216216216216,2.0231927710843376,1.0583352445791032,118.70000000000005,7715.500000000005,,,
2026-07-29,2026-08-04,2026-08-25,TUESDAY,24176.650390625,SOURCE_GAP,GATE_FAIL,False,24200.0,165.8,119.9,309.0,319.8,0.85,323.05,481.05,125.95,65.0,65.0,2.5771476230191825,1.9288299155609168,1.3361196869811771,-2.200000000000003,-142.99999999999818,,,
2026-08-05,2026-08-11,2026-09-01,TUESDAY,24669.19921875,SOURCE_GAP,GATE_PASS,True,24650.0,149.0,111.5,316.0,360.45,184.35,0.55,216.8,287.65,65.0,65.0,2.834080717488789,2.419127516778524,1.171530106549673,119.90000000000003,7793.500000000002,,,
2026-08-12,2026-08-18,2026-09-08,TUESDAY,24472.44921875,SOURCE_GAP,GATE_PASS,True,24450.0,109.0,198.0,347.25,232.15,261.45,0.25,155.3,326.55,65.0,65.0,1.753787878787879,2.129816513761468,0.8234455256854568,63.849999999999966,4150.25,,,
2026-08-19,2026-08-25,2026-09-15,TUESDAY,24152.05078125,SOURCE_GAP,GATE_PASS,True,24150.0,108.35,162.8,296.5,218.9,1.1,141.85,382.9,99.65,65.0,65.0,1.8212530712530712,2.020304568527919,0.9014745101428518,119.35000000000002,7757.749999999999,,,
2026-08-26,2026-09-01,2026-09-22,TUESDAY,24341.94921875,SOURCE_GAP,GATE_PASS,True,24350.0,87.9,145.35,321.8,229.05,314.6,0.75,110.4,380.0,65.0,65.0,2.213966288269694,2.60580204778157,0.8496294989692473,8.950000000000045,581.75,,,
