entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr,comparison_status
2024-03-01,2024-03-07,2024-03-28,22050.0,50,50,132.0,0.1,197.65,446.45,405.0,595.2,296.45,95.5,522.5000000000018,PRIMARY_VALID_SECONDARY_COMPLETE
2024-03-11,2024-03-14,2024-04-04,22500.0,50,50,125.0,354.4,125.75,0.1,380.0,187.25,259.4,361.25,3022.499999999999,PRIMARY_VALID_SECONDARY_COMPLETE
2024-03-15,2024-03-21,2024-04-10,22100.0,50,50,139.0,93.55,198.0,0.15,375.55,298.65,243.4,188.25,6532.499999999998,RECOVERED_BY_SECONDARY_EXACT
2024-03-22,2024-03-28,2024-04-18,21950.0,50,50,89.8,0.55,225.6,384.8,393.05,650.0,177.45,96.0,4497.5,RECOVERED_BY_SECONDARY_EXACT
2024-04-01,2024-04-04,2024-04-25,22450.0,50,50,123.9,2.5,102.0,54.75,360.0,331.65,260.05,163.5,-297.5,PRIMARY_VALID_SECONDARY_COMPLETE
2024-04-05,2024-04-10,2024-05-02,22500.0,50,25,116.4,0.15,140.0,251.7,325.25,470.2,207.85,111.45,-5363.75,PRIMARY_VALID_SECONDARY_COMPLETE
2024-04-12,2024-04-18,2024-05-09,22700.0,50,25,147.65,707.9,145.0,0.1,345.75,80.0,224.0,618.85,18742.5,PRIMARY_VALID_SECONDARY_COMPLETE
2024-04-26,2024-05-02,2024-05-23,22600.0,25,25,131.05,0.5,150.0,55.4,331.65,344.35,269.75,193.9,1315.0000000000005,PRIMARY_VALID_SECONDARY_COMPLETE
2024-05-03,2024-05-09,2024-05-30,22750.0,25,25,105.15,791.35,151.05,0.1,334.0,63.25,250.0,739.9,1912.5,PRIMARY_VALID_SECONDARY_COMPLETE
2024-05-10,2024-05-16,2024-06-06,22000.0,25,25,159.9,0.35,182.0,399.8,567.15,777.95,435.0,286.05,-439.9999999999986,PRIMARY_VALID_SECONDARY_COMPLETE
2024-05-24,2024-05-30,2024-06-20,22900.0,25,25,144.7,419.25,220.0,0.15,601.85,384.0,449.95,696.45,751.2499999999973,RECOVERED_BY_SECONDARY_EXACT
2024-05-31,2024-06-06,2024-06-27,22550.0,25,25,500.0,0.25,557.0,256.45,629.15,576.25,482.45,207.3,576.2499999999991,PRIMARY_VALID_SECONDARY_COMPLETE
2024-06-07,2024-06-13,2024-07-04,22800.0,25,25,216.5,0.1,294.35,597.4,479.85,720.15,347.25,80.65,-313.75,PRIMARY_VALID_SECONDARY_COMPLETE
2024-06-14,2024-06-20,2024-07-11,23450.0,25,25,170.0,0.25,109.55,114.75,373.55,396.25,333.0,187.2,-161.24999999999957,RECOVERED_BY_SECONDARY_EXACT
2024-06-21,2024-06-27,2024-07-18,23650.0,25,25,154.95,0.2,116.2,389.75,356.45,568.3,400.0,154.1,736.2499999999991,RECOVERED_BY_SECONDARY_EXACT
2024-06-28,2024-07-04,2024-07-25,24100.0,25,25,192.7,0.15,145.6,199.6,387.75,433.0,347.65,173.2,-671.25,PRIMARY_VALID_SECONDARY_COMPLETE
2024-07-05,2024-07-11,2024-08-01,24200.0,25,25,93.25,0.2,200.5,113.45,390.65,461.85,287.15,226.75,3140.000000000001,PRIMARY_VALID_SECONDARY_COMPLETE
2024-07-12,2024-07-18,2024-08-08,24400.0,25,25,109.9,0.2,130.25,405.05,410.0,634.05,347.5,166.4,516.2499999999991,RECOVERED_BY_SECONDARY_EXACT
2024-07-26,2024-08-01,2024-08-22,24400.0,25,25,155.0,0.1,165.0,608.7,375.0,696.05,279.0,86.0,-2113.7500000000027,PRIMARY_VALID_SECONDARY_COMPLETE
2024-08-02,2024-08-08,2024-08-29,24800.0,25,25,125.15,674.5,172.0,0.1,400.0,85.3,345.0,744.05,187.50000000000185,PRIMARY_VALID_SECONDARY_COMPLETE
2024-08-09,2024-08-14,2024-09-05,24400.0,25,25,186.15,256.05,130.1,0.15,365.45,230.7,368.85,409.45,612.5000000000009,PRIMARY_VALID_SECONDARY_COMPLETE
2024-08-16,2024-08-22,2024-09-12,24350.0,25,25,189.5,0.1,145.0,458.8,392.6,626.35,316.6,80.7,-838.7499999999991,RECOVERED_BY_SECONDARY_EXACT
2024-08-23,2024-08-29,2024-09-19,24850.0,25,25,137.45,0.45,146.3,318.8,331.25,520.6,276.0,135.25,515.0000000000009,PRIMARY_VALID_SECONDARY_COMPLETE
2024-08-30,2024-09-05,2024-09-26,25250.0,25,25,155.45,103.6,130.0,0.25,360.0,292.7,329.95,305.55,874.9999999999994,PRIMARY_VALID_SECONDARY_COMPLETE
